"","country","port_name","long","lat"
"214","Finland","Uusikaupunki",21.4,60.8
"215","Finland","Vaasa",21.6,60.1
"216","France","Bordeaux",-0.566666666666667,44.8333333333333
"217","France","Boulogne Sur Mer",1.56666666666667,50.75
"218","France","Cherbourg",-1.63333333333333,49.6333333333333
"219","France","Dunkerque",2.36666666666667,51.05
"220","France","La Rochelle-Pallice",-1.16666666666667,46.15
"221","France","Le Havre",-0.116666666666667,49.5
"222","France","Marseille",5.36666666666667,43.3166666666667
"223","France","Nantes-St. Nazaire",-1.56666666666667,47.2333333333333
"224","France","Paris",2.26666666666667,48.95
"225","France","Rouen",1.06666666666667,49.4666666666667
"226","France","St Malo",-2.01666666666667,48.65
"227","France","Strasbourg",7.7,48.5666666666667
"228","France","Toulon",5.91666666666667,43.1166666666667
"229","French Guiana","Cayenne",-52.3333333333333,4.93333333333333
"230","French Polynesia","Papeete",-149.566666666667,-17.55
"231","Gabon","Cap Lopez",8.7,-0.633333333333333
"232","Gabon","Libreville",9.5,0.283333333333333
"233","Gabon","Owendo",9.5,0.283333333333333
"234","Gabon","Port Gentil",8.8,-0.716666666666667
"235","Gambia","Banjul",-16.5666666666667,13.45
"236","Georgia","Batumi",41.6333333333333,41.65
"237","Georgia","Poti",41.6666666666667,42.15
"238","Georgia","Sukhumi",40.9666666666667,43.0166666666667
"239","Germany","Brake",8.48333333333333,53.3333333333333
"240","Germany","Bremen",8.75,53.1166666666667
"241","Germany","Bremerhaven",8.58333333333333,53.55
"242","Germany","Duisburg",6.71666666666667,51.45
"243","Germany","Dusseldorf",6.78333333333333,51.2166666666667
"244","Germany","Emden",7.2,53.35
"245","Germany","Hamburg",9.98333333333333,53.55
"246","Germany","Karlsruhe",8.33333333333333,49.05
"247","Germany","Kiel",10.1666666666667,54.3166666666667
"248","Germany","Lubeck",10.6833333333333,53.8666666666667
"249","Germany","Mannheim",8.5,49.5333333333333
"250","Germany","Rostock",12.1333333333333,54.15
"251","Germany","Wilhelmshavn",8.13333333333333,53.5333333333333
"252","Ghana","Takoradi",-1.75,4.88333333333333
"253","Ghana","Tema",0.0166666666666667,5.63333333333333
"254","Gibraltar","Gibraltar",-5.35,36.1333333333333
"255","Greece","Eleusis",23.55,38.0333333333333
"256","Greece","Iraklion (Heraklion)",25.15,35.2666666666667
"257","Greece","Kavala",24.4166666666667,40.9166666666667
"258","Greece","Patras",21.75,38.25
"259","Greece","Piraeus",23.6333333333333,37.95
"260","Greece","Thessaloniki",22.9333333333333,40.6333333333333
"261","Greece","Volos",22.95,39.3666666666667
"262","Greenland","Holsteinsborg",-53.6666666666667,66.9333333333333
"263","Greenland","Nanortalik",-45.2333333333333,60.1333333333333
"264","Greenland","Narsarsuaq",-45.4166666666667,61.15
"265","Greenland","Nuuk (Godthaab)",-51.7333333333333,64.1666666666667
"266","Guadeloupe","Gustavia",-62.85,17.9
"267","Guadeloupe","Pointe-a-Pitre",-61.5333333333333,16.2333333333333
"268","Guam","Apra (Agana)",144.616666666667,13.45
"269","Guatemala","Champerico",-91.9166666666667,14.3
"270","Guatemala","Puerto Barrios",-88.6166666666667,15.7166666666667
"271","Guatemala","Santo Tomas De",-88.6166666666667,15.7
"272","Guinea","Conakry",-13.7166666666667,9.51666666666667
"273","Guinea","Port Kamsar",-14.6166666666667,10.65
"274","Guinea-Bissau","Bissau",-15.5833333333333,11.85
"275","Guyana","Georgetown",-58.1666666666667,6.81666666666667
"276","Guyana","New Amsterdam",-57.5166666666667,6.23333333333333
"277","Haiti","Port Au Prince",-72.35,18.55
"278","Honduras","La Ceiba",-86.8333333333333,15.7666666666667
"279","Honduras","Puerto Castilla",-86.05,16.0166666666667
"280","Honduras","Puerto Cortes",-87.9333333333333,15.85
"281","Honduras","San Lorenzo",-87.4166666666667,13.4
"282","Honduras","Tela",-87.45,15.7833333333333
"283","Hong Kong","Hong Kong",114.166666666667,22.3
"284","Iceland","Akureyri",-18.05,65.6833333333333
"285","Iceland","Hafnarfjordur",-21.9666666666667,64.0666666666667
"286","Iceland","Isafjordur",-23.1,66.0833333333333
"287","Iceland","Keflavik",-22.55,64
"288","Iceland","Reykjavik",-21.9333333333333,64.1333333333333
"289","Iceland","Vestmannaeyjar",-20.2666666666667,63.4333333333333
"290","India","Bombay (Mumbai)",72.8166666666667,18.9833333333333
"291","India","Calcutta (Kolkata)",88.3666666666667,22.5333333333333
"292","India","Chennai (Madras)",80.2666666666667,13.1
"293","India","Cochin",76.25,9.96666666666667
"294","India","Kandla",70.2,23
"295","India","Nhava Sheva",72.9666666666667,18.95
"296","India","Tuticorin",78.1666666666667,8.75
"297","India","Vishakhapatnam",83.3,17.6833333333333
"298","Indonesia","Cilacap, Java",109,-8.73333333333333
"299","Indonesia","Cirebon, Java",108.55,-6.68333333333333
"300","Indonesia","Jakarta, Java",106.866666666667,-6.1
"301","Indonesia","Kupang, Timor",123.566666666667,-10.1666666666667
"302","Indonesia","Palembang, Sumatra",104.75,-2.98333333333333
"303","Indonesia","Semarang, Java",110.4,-6.88333333333333
"304","Indonesia","Surabaya, Java",112.733333333333,-7.21666666666667
"305","Indonesia","Ujung Pandang,",119.4,-5.13333333333333
"306","Iran","Abadan",48.3333333333333,30.3333333333333
"307","Iran","Bandar Abbas",56.2833333333333,27.1833333333333
"308","Iran","Bandar Anzali",49.4666666666667,37.4666666666667
"309","Iran","Bandar Mahshahr",49.3333333333333,30.45
"310","Iran","Bushehr",50.8333333333333,28.9833333333333
"311","Iran","Imam Khomeini",40.0666666666667,30.4166666666667
"312","Iran","Khorramshahr",48.1833333333333,30.4333333333333
"313","Iran","Lavan",53.3333333333333,26.7833333333333
"314","Iran","Sirri Island",54.55,25.9
"315","Iraq","Basra",47.7833333333333,30.55
"316","Iraq","Khor al Zubair",47.9,30.1833333333333
"317","Iraq","Umm Qasr",51.5833333333333,24.9
"318","Ireland","Arklow",-6.15,52.8
"319","Ireland","Cork",-8.28333333333333,51.8333333333333
"320","Ireland","Drogheda",-6.3,53.7166666666667
"321","Ireland","Dublin",-6.26666666666667,53.35
"322","Ireland","Foynes",-9.1,52.6
"323","Ireland","Galway",-9.05,53.2666666666667
"324","Ireland","New Ross",-6.93333333333333,52.3833333333333
"325","Ireland","Waterford",-7.11666666666667,52.25
"326","Israel","Ashdod",34.6333333333333,31.8333333333333
"327","Israel","Ashkelon",34.5333333333333,31.6333333333333
"328","Israel","Eilat",34.95,29.5333333333333
"329","Israel","Hadera",34.8833333333333,32.4666666666667
"330","Israel","Haifa",35,32.8166666666667
"331","Italy","Augusta",15.2333333333333,37.2166666666667
"332","Italy","Bagnoli",14.1666666666667,40.8
"333","Italy","Bari",16.8666666666667,41.1333333333333
"334","Italy","Brindisi",17.9333333333333,40.65
"335","Italy","Gela",14.25,37.0666666666667
"336","Italy","Genoa",8.9,44.4
"337","Italy","La Spezia",9.85,44.0166666666667
"338","Italy","Livorno",10.3333333333333,43.55
"339","Italy","Messina",15.5666666666667,38.1833333333333
"340","Italy","Milazzo",15.2666666666667,38.2166666666667
"341","Italy","Napoli (Naples)",14.25,40.8333333333333
"342","Italy","Palermo",13.3333333333333,38.1166666666667
"343","Italy","Porto Torres",8.4,40.85
"344","Italy","Ravenna",12.3,44.4166666666667
"345","Italy","Sarroch (Porto Foxi)",9.03333333333333,39.0833333333333
"346","Italy","Savona-Vado",8.48333333333333,44.3
